epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
14,,,,,1109,,,4.228216171264648,,
14,,,,,1114,,,4.211960315704346,,
14,,,,,1119,,,4.211313247680664,,
14,,,,,1124,,,4.189718723297119,,
14,,4.599224090576172,,,1124,,,,,4.599501132965088
14,4.217874526977539,,,,1124,,4.218171119689941,,,
15,,,,,1129,,,4.047004699707031,,
15,,,,,1134,,,4.163135528564453,,
15,,,,,1139,,,3.980649471282959,,
15,,,,,1144,,,4.1159749031066895,,
15,,,,,1149,,,4.185367584228516,,
15,,4.605732440948486,,,1149,,,,,4.607391357421875
15,,,,,1154,,,4.071061134338379,,
15,,,,,1159,,,4.170748233795166,,
15,,,,,1164,,,4.1625471115112305,,
15,,,,,1169,,,4.1032633781433105,,
15,,,,,1174,,,4.1477580070495605,,
15,,4.584754943847656,,,1174,,,,,4.584546089172363
15,,,,,1179,,,4.307232856750488,,
15,,,,,1184,,,4.097851276397705,,
15,,,,,1189,,,4.203351020812988,,
15,,,,,1194,,,4.199375152587891,,
15,,,,,1199,,,4.192523002624512,,
15,,4.583955764770508,,,1199,,,,,4.582208633422852
15,4.1728620529174805,,,,1199,,4.172654151916504,,,
16,,,,,1204,,,4.077577114105225,,
16,,,,,1209,,,4.1028032302856445,,
16,,,,,1214,,,4.021546840667725,,
16,,,,,1219,,,3.9861979484558105,,
16,,,,,1224,,,4.112850666046143,,
16,,4.608529090881348,,,1224,,,,,4.609888553619385
16,,,,,1229,,,4.165257930755615,,
16,,,,,1234,,,4.06207275390625,,
16,,,,,1239,,,4.034095287322998,,
16,,,,,1244,,,4.162894248962402,,
16,,,,,1249,,,4.114881992340088,,
16,,4.589182376861572,,,1249,,,,,4.588757038116455
16,,,,,1254,,,4.204863548278809,,
16,,,,,1259,,,4.147796630859375,,
16,,,,,1264,,,4.248658180236816,,
16,,,,,1269,,,4.2226057052612305,,
16,,,,,1274,,,4.268141746520996,,
16,,4.583230972290039,,,1274,,,,,4.581029891967773
